tract,total_tract_vehicles,total_tract_households
06001407200,2507.473211859964,1383.1165640719514
06001407300,1211.6570669171142,636.2528469698478
06001407400,2020.7728999374785,981.3818115501244
06001407500,1984.10830781166,1119.690082018931
06001407600,3535.4119135363335,1928.7427492885026
06001407700,2872.012328079072,1590.6997895410523
06001407800,1266.2886094098135,713.6066154877708
06001407900,2116.6191469012306,1075.8380043165234
06001408000,1963.9628649987333,959.5271793649084
06001408100,5039.004699200281,2534.1345026518975
06001408200,3064.7642582580443,1558.3322620486988
06001408300,3202.5584017383176,1571.8875674654735
06001408400,1460.0416337344755,909.9976297033394
06001408500,2627.831678114362,1327.281072728607
06001408600,2983.8155067956686,1616.7194623048288
06001408700,4272.4693112227815,2193.4120254077175
06001408800,2739.8131340408513,1610.9990240382451
06001408900,1687.415717900203,802.449756055263
06001409000,2356.800483650415,1082.4119383993452
06001409100,1149.7096710606766,503.4499473168619
06001409200,2105.5320975577874,933.7570971888478
06001409300,2653.3406194176623,1465.191515785658
06001409400,2425.5288193886618,1201.5797603295139
06001409500,1854.6318341742303,913.544527071897
06001409600,2514.0994617501906,1385.2220041333444
06001409700,2700.5794730879225,1331.015077619804
06001409800,1983.530319106047,1059.2011339752767
06001409900,2823.0934599403213,1358.2142614770025
06001410000,2709.9670994825274,1196.7783262334324
06001410100,2081.5155770058145,994.965914920134
06001410200,2035.2264800982093,1009.9013196600424
06001410300,2015.229967373954,954.2303580134529
06001410400,2699.5095502349136,1265.8027646245491
06001410500,931.5516148752866,643.5081464681139
06001420100,1448.9331541856761,795.7359140562955
06001420200,1630.4986604282935,1097.5067715290538
06001420300,2886.0535982676033,1811.422655109542
06001420400,1216.8140502709093,1002.8998193364866
06001420500,1484.8125476623075,858.7874251576488
06001420600,1978.9437543544404,1127.2386025372514
06001421100,1580.623882285105,783.731922078626
06001421200,2540.9348004023536,1357.7352049377969
06001421300,2551.271557336997,1439.9563894356195
06001421400,1158.3747787940515,587.2566532643926
06001421500,2622.4117530410267,1438.422954491772
06001421600,2358.0017752152166,1408.6405662279467
